code,name,raw
7891962037004,BISCOITO WAFER RECHEIO MORANGO BAUDUCCO PACOTE 140G,7891962037004 - BISCOITO WAFER RECHEIO MORANGO BAUDUCCO PACOTE 140G
7891962037028,BISCOITO WAFER RECHEIO TRIPLO CHOCOLATE BAUDUCCO PACOTE 140G,7891962037028 - BISCOITO WAFER RECHEIO TRIPLO CHOCOLATE BAUDUCCO PACOTE 140G
7891962050065,BISCOITO RECHEIO GOIABA BAUDUCCO RECHEADINHO PACOTE 112G,7891962050065 - BISCOITO RECHEIO GOIABA BAUDUCCO RECHEADINHO PACOTE 112G
7891962050072,BISCOITO RECHEIO CHOCOLATE BAUDUCCO RECHEADINHO PACOTE 104G,7891962050072 - BISCOITO RECHEIO CHOCOLATE BAUDUCCO RECHEADINHO PACOTE 104G
7891962051338,PÃO DE FORMA TRADICIONAL VISCONTI PACOTE 400G,7891962051338 - PÃO DE FORMA TRADICIONAL VISCONTI PACOTE 400G
7891962051345,PÃO DE FORMA INTEGRAL VISCONTI PACOTE 400G,7891962051345 - PÃO DE FORMA INTEGRAL VISCONTI PACOTE 400G
7891962051574,ROCAMBOLE BAUNILHA RECHEIO E COBERTURA CHOCOLATE BAUDUCCO ROLL PACOTE 34G,7891962051574 - ROCAMBOLE BAUNILHA RECHEIO E COBERTURA CHOCOLATE BAUDUCCO ROLL PACOTE 34G
7891962053189,TORRADA TRADICIONAL BAUDUCCO PACOTE 142G,7891962053189 - TORRADA TRADICIONAL BAUDUCCO PACOTE 142G
7891962053196,TORRADA INTEGRAL BAUDUCCO PACOTE 142G,7891962053196 - TORRADA INTEGRAL BAUDUCCO PACOTE 142G
7891962053202,TORRADA BAUDUCCO MULTIGRAOS PCT 142G,7891962053202 - TORRADA BAUDUCCO MULTIGRAOS PCT 142G
